website,item,product,time,price
CoolBlue,strijkdeken,Brabantia Strijkdeken 65x120 cm,2021-07-13 17:38:02,29.99
CoolBlue,steelstofzuiger,Philips SpeedPro Max Aqua series 8000 XC8149/01,2021-07-13 17:38:21,569.99
CoolBlue,steelstofzuiger,Philips SpeedPro Max series 8000 XC8049/01,2021-07-13 17:38:21,399.0
CoolBlue,steelstofzuiger,Dyson V8 Absolute +,2021-07-13 17:38:21,349.0
CoolBlue,steelstofzuiger,Dyson V11 Absolute Extra Pro,2021-07-13 17:38:21,699.0
CoolBlue,steelstofzuiger,Dyson V11 Torque Drive Extra,2021-07-13 17:38:21,499.0
CoolBlue,steelstofzuiger,Bosch Unlimited Serie 6 BCS61BAT2,2021-07-13 17:38:21,279.0
CoolBlue,steelstofzuiger,Rowenta Air Force Flex 760 RH9571,2021-07-13 17:38:21,399.95
CoolBlue,steelstofzuiger,Samsung Jet 75 Pro + Samsung Clean Station,2021-07-13 17:38:21,678.0
CoolBlue,steelstofzuiger,AEG QX9-1-ALRG,2021-07-13 17:38:21,329.0
CoolBlue,steelstofzuiger,Dyson V11 Absolute Extra,2021-07-13 17:38:21,549.0
CoolBlue,steelstofzuiger,Dyson V11 Parquet Extra,2021-07-13 17:38:21,499.0
CoolBlue,steelstofzuiger,Dyson V8 Animal +,2021-07-13 17:38:21,349.0
CoolBlue,steelstofzuiger,AEG QX8-1-45SM,2021-07-13 17:38:21,179.0
CoolBlue,steelstofzuiger,Philips SpeedPro Max series 7000 XC7041/01,2021-07-13 17:38:21,289.0
CoolBlue,steelstofzuiger,Rowenta Air Force Flex 560 RH9474,2021-07-13 17:38:21,269.0
CoolBlue,steelstofzuiger,Bosch Unlimited Serie 8 BBS812AM,2021-07-13 17:38:21,399.0
CoolBlue,steelstofzuiger,Samsung Jet 75 Complete,2021-07-13 17:38:21,439.0
CoolBlue,steelstofzuiger,Dyson Cyclone V10 Motorhead,2021-07-13 17:38:21,449.0
CoolBlue,steelstofzuiger,Rowenta X-Force Flex 11.60 RH9879,2021-07-13 17:38:21,299.0
CoolBlue,steelstofzuiger,Philips SpeedPro Max Aqua series 8000 XC8147/01,2021-07-13 17:38:21,549.99
CoolBlue,steelstofzuiger,Veripart VPSS103 steelstofzuiger,2021-07-13 17:38:21,169.0
CoolBlue,steelstofzuiger,Dyson V10 Motorhead,2021-07-13 17:38:21,449.0
CoolBlue,vaatwasser,AEG FSB53907Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-13 17:38:36,699.0
CoolBlue,vaatwasser,AEG FSE63617P/ Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 17:38:36,679.0
CoolBlue,vaatwasser,Whirlpool WIO 3T141 PES / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 17:38:36,649.0
CoolBlue,vaatwasser,Whirlpool WIC 3C33 PE / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 17:38:37,549.0
