website,item,product,time,price
MediaMarkt,steelstofzuiger,DYSON V11 Absolute Extra Blauw,2021-07-13 13:49:44,549.0
MediaMarkt,steelstofzuiger,DYSON V8 Absolute + Geel,2021-07-13 13:49:44,349.0
MediaMarkt,steelstofzuiger,ROWENTA Air Force Flex 760 Total Clean RH9571 Blauw,2021-07-13 13:49:44,399.95
MediaMarkt,steelstofzuiger,PHILIPS XC7041/01 Brons,2021-07-13 13:49:44,284.99
MediaMarkt,steelstofzuiger,BOSCH BCHF220B Readyy'y Serie 2 Zwart,2021-07-13 13:49:44,169.0
MediaMarkt,steelstofzuiger,DYSON V11 Animal Extra Paars,2021-07-13 13:49:44,499.0
MediaMarkt,steelstofzuiger,DYSON V11 Torque Drive Extra Paars,2021-07-13 13:49:44,499.0
MediaMarkt,steelstofzuiger,AEG CX7-1-30EB Zwart,2021-07-13 13:49:44,139.95
MediaMarkt,steelstofzuiger,DYSON V15 Detect Absolute Geel,2021-07-13 13:49:44,699.0
MediaMarkt,steelstofzuiger,SAMSUNG Jet 75 Complete,2021-07-13 13:49:44,439.0
MediaMarkt,steelstofzuiger,SAMSUNG Jet 70 Turbo,2021-07-13 13:49:44,289.0
MediaMarkt,steelstofzuiger,TRISTAR SZ-1980,2021-07-13 13:49:44,86.99
MediaMarkt,steelstofzuiger,DYSON V11 Absolute Extra Pro Blauw,2021-07-13 13:49:44,699.0
MediaMarkt,steelstofzuiger,ROWENTA X-Force Flex 11.60 RH9879 Rood,2021-07-13 13:49:44,299.0
MediaMarkt,steelstofzuiger,DYSON V10 Absolute Oranje,2021-07-13 13:49:44,499.99
MediaMarkt,steelstofzuiger,BOSCH BCS612KA2 Unlimited 6 Zilver,2021-07-13 13:49:44,288.0
MediaMarkt,steelstofzuiger,ROWENTA Air Force Flex 560 RH9471 Blauw,2021-07-13 13:49:44,269.0
MediaMarkt,steelstofzuiger,SAMSUNG POWERstick VS6000 Wit,2021-07-13 13:49:44,199.0
MediaMarkt,steelstofzuiger,DYSON V10 Motorhead Rood,2021-07-13 13:49:44,449.0
MediaMarkt,steelstofzuiger,BOSCH BCS812KA2 Unlimited 8 Zilver,2021-07-13 13:49:44,449.0
MediaMarkt,steelstofzuiger,BEKO VRT70925VB Zwart,2021-07-13 13:49:44,149.0
MediaMarkt,steelstofzuiger,KOENIC KVR 29620 Blauw,2021-07-13 13:49:44,109.0
MediaMarkt,steelstofzuiger,ROWENTA Air Force 460 RH9253 Rood,2021-07-13 13:49:44,199.99
MediaMarkt,steelstofzuiger,DYSON V8 Animal+ Zilver,2021-07-13 13:49:44,349.0
MediaMarkt,steelstofzuiger,ROWENTA Air Force Light RH6543 Rood,2021-07-13 13:49:44,94.99
MediaMarkt,vaatwasser,BEKO DFN26320X2MM,2021-07-13 13:49:59,399.0
MediaMarkt,vaatwasser,SAMSUNG DW60M6040BB,2021-07-13 13:49:59,439.0
MediaMarkt,vaatwasser,OK. ODW6016EFS,2021-07-13 13:49:59,289.99
